cmc,power,toughness,race,ability,color
3,1,3,Snake,none,Blue
1,2,1,Hound,none,Red
1,1,1,Elf,none,Green
1,2,2,Zombie,none,Black
2,2,1,Soltari,none,White
2,3,3,Troll,none,Green
2,2,2,Human,First strike,Black
2,0,4,Plant,none,Green
2,1,1,Human,none,Red
3,0,0,Spike,none,Green
1,1,1,Goblin,none,Red
2,2,2,Human,First strike,White
2,1,1,Sliver,none,Green
2,1,1,Elf,none,Green
5,3,4,Beast,none,Green
2,2,2,Human,none,White
2,1,1,Goblin,none,Red
7,6,5,Boar,none,Green
2,2,2,Zombie,none,Black
2,1,2,Human,none,Blue
2,2,2,Human,First strike,White
3,2,2,Beast,none,Green
1,1,1,Zombie,none,Black
4,2,2,Human,Haste,Red
1,1,1,Human,none,White
4,4,2,Kavu,none,Red
4,5,5,Beast,none,Green
1,1,1,Ape,none,Red
1,1,1,Elf,none,Green
3,2,2,Goblin,none,Red
2,2,2,Hound,none,Green
5,4,4,Wurm,Trample,Green
1,1,1,Lizard,none,Green
4,2,2,Incarnation,Flying,Blue
4,2,2,Goblin,Haste,Red
3,2,1,Human,none,Green
2,0,5,Plant,none,Green
3,2,2,Merfolk,none,Blue
2,3,3,Elf,Deathtouch,Green
5,2,2,Elemental,Flying,Blue
2,1,1,Snake,none,Green
2,1,1,Elf,none,Green
2,2,2,Vampire,none,Black
1,1,1,Cat,none,Green
2,1,1,Faerie,Flash,Blue
2,0,4,Wall,none,White
2,1,1,Bird,Flying,White
1,1,1,Elf,none,Green
5,2,2,Ooze,Deathtouch,Green
1,1,1,Human,none,Green
1,1,1,Human,none,Green
1,1,1,Elf,none,Green
3,2,2,Human,none,White
1,2,1,Human,none,Black
1,1,1,Goblin,none,Red
3,2,1,Hound,none,Green
2,4,1,Elemental,none,Blue
2,0,4,Bird,none,White
5,4,4,Elemental,Flying,Blue
1,1,1,Human,none,White
1,0,1,Bird,Flying,Green
2,2,2,Human,First strike,Black
4,3,3,Wraith,none,Black
4,0,0,Shapeshifter,none,Blue
5,2,4,Cockatrice,Flying,Green
6,6,4,Wurm,none,Green
6,5,5,Demon,none,Black
4,2,3,Dragon,Flying,Red
2,1,1,Skeleton,none,Black
3,1,1,Dwarf,none,Red
3,1,1,Dwarf,none,Red
5,4,5,Elemental,none,Red
2,2,1,Elf,First strike,Green
5,5,4,Elemental,none,Red
6,8,8,Elemental,Trample,Green
3,0,1,Shade,none,Black
4,2,2,Fungus,none,Green
6,*,*,Avatar,none,Green
4,2,4,Spider,Reach,Green
1,1,1,Goblin,none,Red
3,2,2,Goblin,none,Red
3,2,2,Gargoyle,Flying,Red
3,2,2,Ogre,none,Red
2,2,2,Bear,none,Green
4,3,3,Giant,none,Red
3,2,3,Minotaur,none,Red
3,2,2,Specter,Flying,Black
2,2,2,Orc,none,Red
5,3,5,Treefolk,none,Green
4,*,*,Human,none,Red
3,1,1,Human,none,Green
1,1,1,Elf,none,Green
2,2,2,Merfolk,none,Blue
7,7,7,Demon,Flying,Black
6,5,6,Djinn,Flying,Blue
1,1,1,Merfolk,none,Blue
2,1,1,Pegasus,Flying,White
1,1,1,Goblin,none,Red
2,1,1,Spirit,Haste,Black
3,1,1,Imp,none,Black
6,*,*,Nightmare,Flying,Black
4,3,3,Human,none,White
3,1,3,Orc,none,Red
3,2,2,Unicorn,none,White
6,6,6,Avatar,none,White
4,4,1,Illusion,Flying,Blue
4,3,3,Illusion,Flying,Blue
5,4,3,Human,none,Blue
3,*,*,Rat,none,Black
3,1,1,Human,none,Blue
4,3,3,Bird,Flying,Red
2,0,0,Hydra,none,Red
3,1,1,Human,none,Black
2,1,1,Human,none,White
1,2,1,Cat,none,White
3,2,2,Zombie,none,Black
4,2,2,Zombie,none,Black
1,1,1,Faerie,Flying,Green
6,5,5,Serpent,none,Blue
3,2,2,Troll,none,Red
5,4,4,Vampire,Flying,Black
5,4,4,Angel,Flying,White
1,1,1,Nymph,none,Green
6,5,5,Dragon,Flying,Red
4,3,4,Giant,none,Red
5,2,4,Basilisk,none,Green
1,1,1,Wolf,none,Green
5,4,4,Giant,Trample,Red
3,2,2,Troll,none,Red
3,0,2,Human,none,Green
5,0,0,Shapeshifter,none,Blue
5,2,5,Human,none,White
3,1,5,Wall,none,Blue
3,1,4,Skeleton,none,Black
3,2,3,Plant,none,Green
3,0,5,Wall,none,Red
3,0,7,Wall,none,Green
3,0,8,Wall,none,Red
4,3,5,Wall,Flying,White
3,0,5,Wall,none,Blue
1,0,3,Wall,none,Green
4,3,3,Elephant,Trample,Green
5,5,4,Elemental,none,Blue
2,2,2,Human,First strike,White
1,0,1,Spirit,Flying,Black
3,2,3,Zombie,none,Black
5,2,2,Elf,none,Green
7,1,1,Elf,none,Green
1,1,1,Elf,none,Green
3,1,2,Elf,none,Green
2,2,3,Elf,none,Green
2,2,2,Elf,none,Green
4,*,*,Elf,Trample,Green
3,2,2,Elf,none,Green
1,1,1,Elf,none,Green
4,3,3,Elf,none,Green
2,2,2,Elf,none,Green
4,2,2,Elf,Trample,Green
3,1,2,Elf,none,Green
5,2,2,Elf,none,Green
2,1,1,Elf,none,Green
2,1,1,Elf,none,Green
1,1,1,Insect,none,Green
3,1,1,Elf,none,Green
2,3,3,Elf,Deathtouch,Green
5,2,2,Goblin,none,Red
3,2,2,Goblin,First strike,Red
4,3,3,Insect,Haste,Red
2,2,1,Goblin,none,Red
3,2,2,Goblin,none,Red
3,2,1,Goblin,none,Red
1,2,2,Goblin,none,Red
3,1,1,Goblin,none,Red
4,2,2,Goblin,Haste,Red
1,1,1,Goblin,none,Red
3,2,2,Goblin,none,Red
4,3,2,Goblin,none,Red
1,1,1,Goblin,none,Red
2,1,1,Goblin,none,Red
3,1,1,Goblin,none,Red
1,1,1,Goblin,Haste,Red
4,*,*,Goblin,Haste,Red
2,2,1,Goblin,none,Red
5,2,2,Goblin,none,Red
1,1,1,Goblin,none,Red
3,2,2,Goblin,none,Red
4,2,2,Goblin,none,Red
8,4,9,Avatar,Flying,White
3,2,2,Griffin,Flying,White
3,2,2,Cat,none,White
1,1,1,Cat,none,White
5,3,3,Spirit,Flying,White
5,3,3,Human,none,White
3,2,1,Human,none,White
3,1,1,Human,none,White
4,3,3,Human,none,White
3,1,3,Human,none,White
3,2,2,Human,none,White
2,1,2,Human,none,White
4,2,3,Horse,none,White
3,1,2,Human,none,White
5,3,3,Human,none,Blue
8,5,6,Avatar,Flying,Blue
5,3,3,Bird,none,Blue
4,2,2,Squid,none,Blue
2,1,1,Homunculus,none,Blue
3,1,6,Wall,none,Blue
3,2,3,Snake,Flying,Blue
7,4,4,Serpent,none,Blue
5,3,3,Drake,Flying,Blue
2,1,1,Drake,Flying,Blue
4,2,1,Bird,Flying,Blue
4,3,4,Spirit,Flying,Blue
4,3,3,Human,Flying,Blue
2,1,1,Human,none,Black
8,6,5,Avatar,none,Black
5,5,4,Elemental,none,Black
3,1,1,Human,Flying,Black
3,1,1,Spirit,none,Black
5,3,3,Zombie,none,Black
3,2,2,Worm,none,Black
4,3,2,Nightstalker,none,Black
5,3,3,Horror,none,Black
2,1,1,Shade,none,Black
4,4,3,Bird,Flying,Black
2,1,1,Insect,none,Black
3,1,2,Human,none,Black
3,2,4,Snake,none,Black
2,2,2,Zombie,none,Black
8,6,6,Avatar,Flying,Red
1,2,2,Human,none,Red
3,2,2,Human,none,Red
4,5,2,Efreet,none,Red
3,1,1,Human,none,Red
4,2,3,Human,none,Red
5,3,3,Human,none,Red
5,3,3,Human,none,Red
4,6,4,Beast,none,Red
3,1,2,Beast,none,Red
5,3,3,Cat,none,Red
3,2,1,Beast,none,Red
2,4,4,Human,none,Red
3,2,1,Human,none,Red
4,3,3,Minotaur,First strike,Red
8,8,8,Avatar,Trample,Green
4,5,4,Bird,none,Green
5,3,3,Human,none,Green
1,1,1,Snake,none,Green
4,6,5,Wurm,none,Green
2,2,1,Boar,Trample,Green
3,1,4,Spider,Reach,Green
3,3,3,Beast,none,Green
5,3,5,Spider,Reach,Green
1,1,1,Frog,none,Green
4,2,2,Human,none,Green
5,4,4,Beast,none,Green
5,4,3,Elephant,Trample,Green
2,2,2,Turtle,none,Green
2,1,2,Elemental,none,Red
4,1,3,Weird,none,Blue
5,3,2,Ogre,none,Red
5,3,3,Beast,none,Red
1,1,1,Spirit,none,Black
1,1,1,Elf,none,Green
2,1,1,Human,none,Black
2,1,1,Rat,none,Black
2,1,1,Skeleton,none,Black
2,*,*,Wurm,none,Green
3,1,2,Imp,Flying,Black
3,2,1,Human,none,Green
4,1,1,Insect,none,Black
4,3,3,Plant,none,Green
5,0,0,Troll,none,Green
5,2,5,Spider,Reach,Green
5,2,2,Human,none,Black
1,1,1,Lizard,none,Green
2,3,3,Troll,none,Green
2,0,4,Plant,none,Green
2,2,2,Hound,none,Green
3,2,2,Elf,none,Green
4,5,5,Beast,none,Green
4,4,4,Beast,none,Green
4,5,4,Antelope,Trample,Green
5,4,4,Beast,none,Green
7,6,5,Boar,none,Green
7,8,8,Wurm,Hexproof,Green
1,1,1,Human,none,Black
1,1,1,Spirit,none,Black
1,0,1,Bat,Flying,Black
2,1,1,Skeleton,none,Black
2,1,1,Rat,none,Black
3,3,1,Zombie,none,Black
3,2,2,Horror,none,Black
3,2,2,Human,none,Black
3,1,4,Skeleton,none,Black
3,2,2,Faerie,Flying,Black
4,3,3,Spirit,Flying,Black
4,2,2,Spirit,Flying,Black
6,5,3,Zombie,none,Black
6,3,3,Vampire,Flying,Black
1,1,1,Zombie,none,Black
3,4,4,Horror,none,Black
4,2,3,Nightmare,none,Black
6,5,3,Zombie,none,Black
8,6,5,Avatar,none,Black
8,9,9,Elephant,none,Green
8,7,7,Elemental,none,Green
9,5,6,Archon,Flying,White
2,2,1,Human,Reach,White
3,2,3,Human,none,White
3,2,2,Human,none,White
6,3,3,Human,none,White
5,1,6,Human,none,White
2,1,1,Bird,Flying,White
6,6,6,Avatar,none,White
1,2,1,Cat,none,White
5,4,4,Angel,Flying,White
4,2,3,Griffin,Flying,White
5,2,3,Human,none,White
2,1,3,Human,none,White
5,2,5,Human,none,White
2,2,2,Human,First strike,White
3,1,1,Bird,Flying,White
3,2,2,Griffin,Flying,White
5,4,4,Elemental,Flying,Blue
6,5,4,Illusion,Flying,Blue
3,3,1,Spirit,Flying,Blue
2,1,1,Zombie,none,Blue
2,1,1,Turtle,none,Blue
6,5,6,Djinn,Flying,Blue
2,1,1,Bird,Flying,Blue
4,4,1,Illusion,Flying,Blue
3,1,1,Human,none,Blue
6,5,5,Serpent,none,Blue
4,5,6,Djinn,Flying,Blue
2,1,1,Human,none,Blue
5,1,1,Human,none,Blue
9,9,9,Leviathan,none,Blue
5,5,4,Elemental,none,Blue
2,2,2,Human,First strike,Black
2,2,1,Zombie,none,Black
6,5,5,Demon,none,Black
6,6,5,Horror,Flying,Black
5,3,4,Zombie,none,Black
7,5,4,Dragon,Flying,Black
3,3,2,Spirit,Flying,Black
4,2,4,Beast,none,Black
2,3,2,Ogre,none,Black
3,3,3,Efreet,Flying,Black
3,2,3,Zombie,none,Black
7,4,4,Demon,none,Black
4,2,2,Nightstalker,none,Black
4,2,2,Zombie,none,Black
5,4,4,Vampire,Flying,Black
3,1,1,Spirit,none,Black
3,2,3,Zombie,none,Black
4,1,1,Human,none,Red
4,0,1,Human,none,Red
2,1,2,Atog,none,Red
3,1,2,Human,Flying,Red
3,2,1,Imp,none,Red
2,2,1,Goblin,none,Red
3,3,2,Goblin,none,Red
1,1,1,Goblin,none,Red
3,1,1,Goblin,none,Red
3,6,3,Djinn,none,Red
4,4,3,Ogre,none,Red
3,1,1,Orc,none,Red
4,3,3,Bird,Flying,Red
2,0,0,Hydra,none,Red
3,2,2,Troll,none,Red
6,5,5,Dragon,Flying,Red
7,5,5,Dragon,Flying,Red
5,4,4,Giant,Trample,Red
2,2,1,Faerie,none,Green
5,3,5,Treefolk,none,Green
2,1,1,Human,none,Green
8,7,6,Wurm,none,Green
3,2,3,Cat,none,Green
6,8,8,Elemental,Trample,Green
3,1,1,Treefolk,none,Green
5,4,4,Ox,none,Green
4,3,2,Spirit,none,Green
4,2,2,Human,none,Green
1,1,1,Human,none,Green
4,3,4,Elephant,none,Green
4,3,3,Elephant,Trample,Green
7,8,5,Wurm,none,Green
4,3,3,Ox,none,Green
4,*,*,Elemental,none,Green
4,1,4,Elephant,none,White
5,2,5,Human,none,White
3,0,1,Human,none,White
3,2,2,Human,none,White
4,2,3,Elephant,none,White
4,2,2,Human,Flying,White
3,2,2,Human,none,White
4,2,4,Human,none,White
2,1,1,Shapeshifter,none,Blue
3,1,2,Human,none,Blue
4,*,*,Avatar,none,Blue
4,2,3,Human,none,Blue
3,2,2,Beeble,none,Blue
2,2,2,Bird,Flying,Blue
3,2,2,Efreet,Flying,Blue
5,2,3,Drake,Flying,Blue
8,5,5,Shapeshifter,none,Blue
4,1,1,Human,none,Blue
2,1,2,Human,none,Blue
3,2,2,Human,none,Blue
4,3,4,Elemental,Flying,Blue
5,2,2,Human,none,Blue
3,2,3,Zombie,none,Black
4,4,4,Zombie,none,Black
10,8,8,Demon,Flying,Black
3,3,2,Human,none,Black
4,3,3,Horror,Flying,Black
2,1,1,Ape,none,Black
2,2,2,Mummy,none,Black
3,1,1,Zombie,none,Black
2,2,2,Human,none,Red
2,2,2,Goblin,none,Red
3,2,2,Goblin,First strike,Red
4,2,2,Goblin,none,Red
1,1,1,Goblin,none,Red
3,4,4,Orc,none,Red
3,0,2,Giant,none,Red
4,2,5,Elemental,none,Red
4,3,1,Slug,none,Red
4,0,0,Beast,none,Red
2,1,1,Hound,Trample,Green
4,3,3,Beast,none,Green
6,*,*,Elf,none,Green
5,5,5,Beast,none,Green
3,2,3,Human,none,Green
2,2,2,Hyena,none,Green
4,1,1,Ape,none,Green
2,7,7,Dinosaur,none,Green
3,2,2,Elemental,none,Green
5,3,3,Treefolk,none,Green
8,8,8,Ape,Trample,Green
4,1,2,Human,none,White
2,1,1,Human,First strike,White
3,2,2,Human,none,White
4,2,2,Human,none,White
2,1,1,Human,none,White
4,1,1,Human,none,White
5,1,4,Human,none,White
3,2,2,Human,none,White
4,2,2,Angel,Flying,White
1,2,3,Griffin,Flying,White
4,1,5,Angel,Flying,White
4,2,2,Angel,Flying,White
4,2,2,Angel,Flying,White
2,0,5,Wall,none,White
4,2,2,Illusion,Flying,Blue
7,5,5,Elemental,Flying,Blue
4,1,1,Human,none,Blue
5,3,3,Beeble,none,Blue
1,1,1,Bird,none,Blue
4,2,2,Drake,Flying,Blue
4,2,2,Bird,Flying,Blue
3,2,3,Metathran,none,Blue
2,1,1,Metathran,none,Blue
3,1,1,Human,none,Blue
3,2,2,Human,none,Blue
3,1,1,Human,none,Blue
4,1,3,Bird,Flying,Blue
2,1,1,Zombie,none,Black
4,2,2,Minion,none,Black
4,2,2,Rat,none,Black
4,1,1,Human,none,Black
4,2,2,Skeleton,none,Black
3,5,5,Horror,Trample,Black
5,3,3,Zombie,none,Black
2,1,1,Rat,none,Black
3,4,3,Horror,none,Black
4,2,1,Imp,Flying,Black
2,1,1,Horror,none,Black
6,4,4,Cyclops,none,Red
4,1,1,Human,none,Red
3,1,1,Goat,none,Red
5,6,5,Dragon,Flying,Red
4,2,2,Goblin,First strike,Red
4,2,1,Goblin,none,Red
6,3,3,Goblin,none,Red
2,2,1,Goblin,none,Red
3,3,3,Ogre,none,Red
4,3,2,Human,Haste,Red
3,4,1,Human,none,Red
3,2,2,Goat,Haste,Red
6,6,5,Ape,none,Green
1,1,1,Elf,none,Green
4,1,1,Elf,none,Green
4,5,5,Crocodile,none,Green
4,2,2,Elf,none,Green
3,3,1,Insect,Trample,Green
2,1,1,Elf,none,Green
3,3,2,Bird,none,Green
4,1,1,Elf,none,Green
3,2,3,Insect,none,Green
5,4,4,Spider,Reach,Green
2,2,1,Elf,none,Green
1,0,1,Elf,none,Green
7,7,7,Elemental,none,Green
3,2,1,Human,none,Green
3,2,2,Human,none,Green
8,6,6,Angel,Flying,White
4,2,4,Human,none,White
4,2,2,Bird,Flying,White
5,2,2,Bird,Flying,White
2,1,3,Human,none,White
5,2,2,Bird,Flying,White
2,1,1,Human,none,White
1,1,1,Human,none,White
4,1,4,Human,none,White
4,1,1,Soldier,none,White
4,2,4,Human,none,White
1,1,1,Human,none,White
4,3,3,Sliver,none,White
6,3,5,Human,none,White
3,2,1,Human,none,White
4,2,3,Human,Vigilance,White
5,2,2,Human,First strike,White
1,1,1,Human,none,White
1,1,1,Sliver,none,White
2,1,3,Human,none,White
2,2,2,Human,none,White
2,1,2,Human,none,White
6,2,6,Bird,Flying,White
1,0,3,Wall,none,White
5,2,2,Sliver,none,White
3,1,3,Human,none,White
2,2,2,Human,First strike,White
4,2,3,Spirit,Flying,White
3,2,1,Bird,Flying,White
1,0,2,Bird,Flying,Blue
3,1,2,Cephalid,none,Blue
5,3,3,Crab,none,Blue
5,3,2,Human,none,Blue
6,3,2,Bird,Flying,Blue
3,1,1,Shapeshifter,Flying,Blue
4,2,2,Spirit,none,Blue
3,2,2,Human,none,Blue
1,1,1,Human,none,Blue
3,2,2,Human,none,Blue
5,3,3,Human,none,Blue
4,2,3,Bird,Flying,Blue
3,1,2,Bird,Flying,Blue
4,2,3,Human,none,Blue
3,1,1,Human,none,Blue
4,3,1,Illusion,Flying,Blue
2,1,1,Illusion,none,Blue
4,3,3,Illusion,none,Blue
5,2,3,Illusion,Flying,Blue
7,4,4,Bird,Flying,Blue
4,2,3,Human,none,Blue
2,0,3,Beast,none,Blue
4,2,2,Sliver,none,Blue
5,3,3,Sliver,none,Blue
2,1,1,Human,none,Blue
2,0,5,Wall,none,Blue
5,3,4,Human,none,Blue
7,4,4,Beast,none,Blue
2,1,2,Human,none,Blue
3,3,1,Human,none,Black
4,4,3,Insect,none,Black
1,1,1,Human,none,Black
5,3,3,Zombie,none,Black
2,1,1,Sliver,none,Black
1,1,1,Human,none,Black
4,2,3,Human,none,Black
3,5,3,Horror,none,Black
6,4,1,Zombie,none,Black
2,1,1,Human,none,Black
3,2,2,Zombie,none,Black
6,4,3,Zombie,none,Black
3,0,0,Zombie,none,Black
2,2,1,Goblin,none,Black
4,3,3,Zombie,none,Black
7,5,5,Demon,Flying,Black
3,2,2,Specter,Flying,Black
4,2,2,Human,none,Black
5,3,3,Zombie,none,Black
7,4,4,Avatar,none,Black
8,6,6,Avatar,Trample,Black
2,2,1,Zombie,none,Black
3,3,1,Zombie,none,Black
5,3,2,Bird,Flying,Black
3,2,2,Sliver,none,Black
4,3,3,Sliver,none,Black
4,2,2,Human,none,Black
2,2,2,Zombie,none,Black
7,5,4,Zombie,Trample,Black
3,2,2,Sliver,none,Red
6,3,4,Beast,none,Red
4,3,3,Insect,Haste,Red
5,4,1,Goat,Haste,Red
3,2,2,Goblin,none,Red
6,6,6,Lizard,none,Red
3,2,1,Goblin,none,Red
5,2,2,Goblin,none,Red
4,3,3,Goblin,none,Red
7,4,4,Goblin,none,Red
2,2,2,Goblin,none,Red
4,6,6,Goblin,none,Red
1,1,1,Goblin,none,Red
2,1,2,Goblin,none,Red
2,1,1,Sliver,none,Red
7,6,6,Dragon,Flying,Red
7,5,5,Dragon,Flying,Red
4,3,3,Spirit,none,Red
7,4,4,Beast,First strike,Red
4,3,3,Sliver,none,Red
4,2,1,Lizard,Double strike,Red
7,4,3,Elemental,Double strike,Red
4,3,2,Beast,none,Red
2,1,2,Human,Haste,Red
2,2,1,Goblin,none,Red
2,2,1,Goblin,none,Red
4,2,2,Goblin,none,Red
3,2,2,Goblin,none,Red
1,1,1,Goblin,none,Red
5,3,3,Beast,none,Green
3,4,1,Beast,Trample,Green
6,5,3,Beast,Trample,Green
5,3,3,Sliver,none,Green
3,2,2,Elf,Flash,Green
4,2,2,Beast,none,Green
1,1,1,Elf,Trample,Green
5,5,4,Elf,none,Green
7,7,7,Beast,none,Green
6,3,3,Beast,none,Green
2,2,2,Elf,none,Green
6,4,4,Beast,none,Green
7,4,7,Beast,none,Green
10,13,13,Beast,none,Green
4,3,2,Cat,none,Green
4,3,2,Insect,none,Green
6,3,6,Beast,Reach,Green
1,1,1,Elf,none,Green
5,2,2,Elf,none,Green
2,1,1,Sliver,Flash,Green
4,2,2,Sliver,none,Green
5,2,4,Spirit,none,Green
2,2,2,Elf,none,Green
3,1,2,Elf,none,Green
5,3,3,Elf,none,Green
2,1,1,Elf,none,Green
5,3,3,Insect,none,Green
4,2,2,Elf,none,Green
2,1,1,Elf,none,Green
1,1,1,Ape,none,Red
1,1,1,Elf,none,Green
1,1,1,Cat,none,Green
1,1,1,Cat,none,White
2,2,1,Cat,none,Red
2,2,1,Human,none,Green
2,1,1,Elf,none,Green
2,2,2,Cat,none,White
3,2,2,Antelope,none,Green
4,3,3,Elemental,Flash,Green
5,4,4,Elemental,none,Green
5,4,4,Cat,none,Green
6,5,4,Cat,Vigilance,White
2,1,1,Faerie,Flying,Blue
2,1,1,Zombie,none,Black
2,2,1,Goblin,none,Red
3,4,4,Elemental,none,Blue
3,2,2,Frog,none,Black
3,2,2,Elemental,none,Red
4,1,3,Weird,none,Blue
5,3,2,Elemental,none,Black
5,3,2,Ogre,none,Red
9,0,0,Dragon,none,Red
6,5,5,Angel,Flying,White
2,2,1,Human,none,White
4,2,3,Human,none,White
5,4,4,Archon,Flying,White
2,2,3,Horse,none,White
4,3,2,Griffin,Flying,White
3,2,2,Human,none,White
3,2,2,Human,none,White
1,2,1,Human,none,White
3,2,2,Human,none,White
1,1,1,Human,none,White
2,2,2,Human,none,White
2,1,1,Human,none,White
3,1,3,Griffin,Flying,White
3,0,2,Human,none,White
5,2,4,Griffin,First strike,White
1,0,3,Cat,none,White
3,0,3,Bird,none,White
5,4,4,Angel,Flying,White
5,3,5,Elephant,none,White
4,1,4,Rhino,none,White
2,2,1,Pegasus,Flying,White
6,6,6,Giant,Vigilance,White
3,2,2,Human,none,Blue
2,1,1,Siren,none,Blue
4,2,4,Salamander,none,Blue
4,2,2,Bird,Flying,Blue
2,2,1,Human,none,Blue
5,2,5,Sphinx,Flying,Blue
5,3,3,Drake,Flying,Blue
2,2,1,Merfolk,none,Blue
5,4,4,Djinn,Flying,Blue
6,6,6,Giant,none,Blue
6,5,5,Serpent,none,Blue
3,2,2,Vedalken,none,Blue
2,2,2,Human,none,Blue
4,2,2,Human,none,Blue
2,1,1,Merfolk,none,Blue
2,1,2,Merfolk,none,Blue
1,2,2,Bear,none,Blue
4,5,5,Dragon,Flying,Blue
2,0,0,Illusion,none,Blue
3,3,1,Drake,Flying,Blue
7,5,6,Sphinx,Flying,Blue
2,1,1,Vampire,none,Black
5,3,3,Vampire,Flying,Black
3,3,1,Vampire,none,Black
3,2,2,Zombie,none,Black
2,2,1,Vampire,Lifelink,Black
3,2,1,Insect,Flying,Black
4,1,1,Shade,Flying,Black
2,1,1,Bat,Flying,Black
6,6,6,Giant,Deathtouch,Black
4,2,2,Zombie,none,Black
2,2,1,Human,none,Black
2,1,1,Skeleton,none,Black
3,1,1,Human,none,Black
7,6,6,Demon,Flying,Black
5,4,4,Vampire,Flying,Black
7,*,*,Zombie,Trample,Black
1,1,1,Spirit,none,Black
4,2,2,Vampire,Lifelink,Black
5,5,4,Zombie,Deathtouch,Black
3,3,2,Zombie,none,Black
5,4,3,Zombie,none,Black
3,2,2,Ogre,First strike,Red
5,4,4,Giant,none,Red
3,2,2,Phoenix,Flying,Red
2,2,1,Human,none,Red
3,2,2,Elemental,none,Red
6,5,5,Dragon,Flying,Red
7,6,6,Dragon,Flying,Red
1,1,1,Goblin,none,Red
4,2,2,Goblin,none,Red
3,2,2,Goblin,Haste,Red
1,1,1,Goblin,none,Red
2,2,1,Goblin,none,Red
2,1,1,Goblin,none,Red
4,3,3,Minotaur,none,Red
1,1,1,Human,none,Red
6,6,6,Giant,none,Red
4,4,1,Elemental,Haste,Red
3,2,2,Human,none,Red
2,1,1,Human,Menace,Red
6,4,4,Dragon,Flying,Red
2,4,1,Wall,none,Red
5,2,2,Ooze,Deathtouch,Green
6,5,7,Spider,Reach,Green
1,0,1,Bird,Flying,Green
3,2,2,Boar,none,Green
7,6,6,Wurm,Trample,Green
4,4,3,Troll,none,Green
3,*,*,Treefolk,Hexproof,Green
